[2025-04-16 01:38:27] 25m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:38:27] 25m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-cg8fr
[2025-04-16 01:38:27] 25m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-cg8fr          Successfully assigned default/nginx-basic-76dd66bf4f-cg8fr to worker7
[2025-04-16 01:38:27] 25m         Normal    Created                        pod/nginx-basic-76dd66bf4f-cg8fr          Created container nginx
[2025-04-16 01:38:27] 25m         Normal    Started                        pod/nginx-basic-76dd66bf4f-cg8fr          Started container nginx
[2025-04-16 01:38:27] 25m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-cg8fr          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 25m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-cg8fr          Successfully pulled image "nginx:latest" in 697ms (697ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 24m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:38:27] 24m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:38:27] 17m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-cg8fr          Stopping container nginx
[2025-04-16 01:38:27] 16m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:38:27] 16m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-45b5r
[2025-04-16 01:38:27] 16m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-45b5r          Successfully assigned default/nginx-basic-76dd66bf4f-45b5r to worker7
[2025-04-16 01:38:27] 16m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-45b5r          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 16m         Normal    Started                        pod/nginx-basic-76dd66bf4f-45b5r          Started container nginx
[2025-04-16 01:38:27] 16m         Normal    Created                        pod/nginx-basic-76dd66bf4f-45b5r          Created container nginx
[2025-04-16 01:38:27] 16m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-45b5r          Successfully pulled image "nginx:latest" in 670ms (670ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 16m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:38:27] 16m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:38:27] 12m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rghsb
[2025-04-16 01:38:27] 12m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
[2025-04-16 01:38:27] 12m         Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 2; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 12m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rghsb          Successfully assigned default/nginx-basic-76dd66bf4f-rghsb to worker7
[2025-04-16 01:38:27] 12m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rghsb          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 12m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rghsb          Successfully pulled image "nginx:latest" in 693ms (693ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 12m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rghsb          Started container nginx
[2025-04-16 01:38:27] 12m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rghsb          Created container nginx
[2025-04-16 01:38:27] 8m31s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-rghsb          Stopping container nginx
[2025-04-16 01:38:27] 8m31s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-45b5r          Stopping container nginx
[2025-04-16 01:38:27] 7m30s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-zs48f          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 7m30s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:38:27] 7m30s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-zs48f          Successfully assigned default/nginx-basic-76dd66bf4f-zs48f to worker7
[2025-04-16 01:38:27] 7m30s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-zs48f
[2025-04-16 01:38:27] 7m29s       Normal    Started                        pod/nginx-basic-76dd66bf4f-zs48f          Started container nginx
[2025-04-16 01:38:27] 7m29s       Normal    Created                        pod/nginx-basic-76dd66bf4f-zs48f          Created container nginx
[2025-04-16 01:38:27] 7m29s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-zs48f          Successfully pulled image "nginx:latest" in 681ms (681ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 7m15s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:38:27] 7m15s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:38:27] 6m30s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 2; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 6m30s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-8jcs6          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 6m30s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-8jcs6          Successfully assigned default/nginx-basic-76dd66bf4f-8jcs6 to worker7
[2025-04-16 01:38:27] 6m30s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
[2025-04-16 01:38:27] 6m30s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-8jcs6
[2025-04-16 01:38:27] 6m29s       Normal    Started                        pod/nginx-basic-76dd66bf4f-8jcs6          Started container nginx
[2025-04-16 01:38:27] 6m29s       Normal    Created                        pod/nginx-basic-76dd66bf4f-8jcs6          Created container nginx
[2025-04-16 01:38:27] 6m29s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-8jcs6          Successfully pulled image "nginx:latest" in 686ms (686ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 6m          Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-7qdg9
[2025-04-16 01:38:27] 6m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-7qdg9          Successfully assigned default/nginx-basic-76dd66bf4f-7qdg9 to worker7
[2025-04-16 01:38:27] 6m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-7qdg9          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 6m          Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 3; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 6m          Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
[2025-04-16 01:38:27] 5m59s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-7qdg9          Successfully pulled image "nginx:latest" in 694ms (694ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 5m59s       Normal    Created                        pod/nginx-basic-76dd66bf4f-7qdg9          Created container nginx
[2025-04-16 01:38:27] 5m59s       Normal    Started                        pod/nginx-basic-76dd66bf4f-7qdg9          Started container nginx
[2025-04-16 01:38:27] 5m45s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 4 from 3
[2025-04-16 01:38:27] 5m45s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-cbmbx          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 5m45s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-cbmbx          Successfully assigned default/nginx-basic-76dd66bf4f-cbmbx to worker7
[2025-04-16 01:38:27] 5m45s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-cbmbx
[2025-04-16 01:38:27] 5m45s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 4; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 5m44s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-cbmbx          Successfully pulled image "nginx:latest" in 689ms (689ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 5m44s       Normal    Created                        pod/nginx-basic-76dd66bf4f-cbmbx          Created container nginx
[2025-04-16 01:38:27] 5m44s       Normal    Started                        pod/nginx-basic-76dd66bf4f-cbmbx          Started container nginx
[2025-04-16 01:38:27] 5m30s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-ct8cc
[2025-04-16 01:38:27] 5m30s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 5 from 4
[2025-04-16 01:38:27] 5m30s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-ct8cc          Successfully assigned default/nginx-basic-76dd66bf4f-ct8cc to worker7
[2025-04-16 01:38:27] 5m30s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-ct8cc          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 5m30s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 5; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 5m29s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-ct8cc          Successfully pulled image "nginx:latest" in 671ms (671ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 5m29s       Normal    Created                        pod/nginx-basic-76dd66bf4f-ct8cc          Created container nginx
[2025-04-16 01:38:27] 5m29s       Normal    Started                        pod/nginx-basic-76dd66bf4f-ct8cc          Started container nginx
[2025-04-16 01:38:27] 5m15s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-hmzgq          Successfully assigned default/nginx-basic-76dd66bf4f-hmzgq to worker7
[2025-04-16 01:38:27] 5m15s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-hmzgq
[2025-04-16 01:38:27] 5m15s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 6 from 5
[2025-04-16 01:38:27] 5m15s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-hmzgq          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 5m15s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 6; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 5m14s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-hmzgq          Successfully pulled image "nginx:latest" in 671ms (671ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 5m14s       Normal    Created                        pod/nginx-basic-76dd66bf4f-hmzgq          Created container nginx
[2025-04-16 01:38:27] 5m14s       Normal    Started                        pod/nginx-basic-76dd66bf4f-hmzgq          Started container nginx
[2025-04-16 01:38:27] 5m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-ncm7h          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 5m          Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 8 from 6
[2025-04-16 01:38:27] 5m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-mtnth          Successfully assigned default/nginx-basic-76dd66bf4f-mtnth to worker7
[2025-04-16 01:38:27] 5m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-mtnth          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 5m          Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-mtnth
[2025-04-16 01:38:27] 5m          Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-ncm7h
[2025-04-16 01:38:27] 5m          Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 8; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 5m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-ncm7h          Successfully assigned default/nginx-basic-76dd66bf4f-ncm7h to worker7
[2025-04-16 01:38:27] 4m59s       Normal    Started                        pod/nginx-basic-76dd66bf4f-mtnth          Started container nginx
[2025-04-16 01:38:27] 4m59s       Normal    Created                        pod/nginx-basic-76dd66bf4f-mtnth          Created container nginx
[2025-04-16 01:38:27] 4m59s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-mtnth          Successfully pulled image "nginx:latest" in 679ms (679ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m58s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-ncm7h          Successfully pulled image "nginx:latest" in 729ms (1.408s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m58s       Normal    Created                        pod/nginx-basic-76dd66bf4f-ncm7h          Created container nginx
[2025-04-16 01:38:27] 4m58s       Normal    Started                        pod/nginx-basic-76dd66bf4f-ncm7h          Started container nginx
[2025-04-16 01:38:27] 4m30s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 4m30s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-ps5bv          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m          Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         (combined from similar events): Created pod: nginx-basic-76dd66bf4f-fbw9p
[2025-04-16 01:38:27] 4m30s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 10 from 8
[2025-04-16 01:38:27] 4m30s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-xkbrm          Successfully assigned default/nginx-basic-76dd66bf4f-xkbrm to worker7
[2025-04-16 01:38:27] 4m30s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-xkbrm          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m30s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-xkbrm
[2025-04-16 01:38:27] 4m30s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-ps5bv          Successfully assigned default/nginx-basic-76dd66bf4f-ps5bv to worker7
[2025-04-16 01:38:27] 4m29s       Normal    Created                        pod/nginx-basic-76dd66bf4f-xkbrm          Created container nginx
[2025-04-16 01:38:27] 4m29s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-xkbrm          Successfully pulled image "nginx:latest" in 698ms (698ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m29s       Normal    Started                        pod/nginx-basic-76dd66bf4f-xkbrm          Started container nginx
[2025-04-16 01:38:27] 4m28s       Normal    Created                        pod/nginx-basic-76dd66bf4f-ps5bv          Created container nginx
[2025-04-16 01:38:27] 4m28s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-ps5bv          Successfully pulled image "nginx:latest" in 705ms (1.403s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m28s       Normal    Started                        pod/nginx-basic-76dd66bf4f-ps5bv          Started container nginx
[2025-04-16 01:38:27] 4m15s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 12; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 4m15s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-zdzpp          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m15s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-z5wqj          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m15s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-z5wqj          Successfully assigned default/nginx-basic-76dd66bf4f-z5wqj to worker7
[2025-04-16 01:38:27] 4m15s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 12 from 10
[2025-04-16 01:38:27] 4m15s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-zdzpp          Successfully assigned default/nginx-basic-76dd66bf4f-zdzpp to worker7
[2025-04-16 01:38:27] 4m14s       Normal    Started                        pod/nginx-basic-76dd66bf4f-zdzpp          Started container nginx
[2025-04-16 01:38:27] 4m14s       Normal    Created                        pod/nginx-basic-76dd66bf4f-zdzpp          Created container nginx
[2025-04-16 01:38:27] 4m14s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-zdzpp          Successfully pulled image "nginx:latest" in 661ms (661ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m13s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-z5wqj          Successfully pulled image "nginx:latest" in 683ms (1.343s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:38:27] 4m13s       Normal    Started                        pod/nginx-basic-76dd66bf4f-z5wqj          Started container nginx
[2025-04-16 01:38:27] 4m13s       Normal    Created                        pod/nginx-basic-76dd66bf4f-z5wqj          Created container nginx
[2025-04-16 01:38:27] 4m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-w6grp          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-q2bwz          Successfully assigned default/nginx-basic-76dd66bf4f-q2bwz to worker7
[2025-04-16 01:38:27] 4m          Normal    ScalingReplicaSet              deployment/nginx-basic                    (combined from similar events): Scaled up replica set nginx-basic-76dd66bf4f to 15 from 12
[2025-04-16 01:38:27] 4m          Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 15; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:38:27] 4m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fbw9p          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 4m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-w6grp          Successfully assigned default/nginx-basic-76dd66bf4f-w6grp to worker7
[2025-04-16 01:38:27] 4m          Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fbw9p          Successfully assigned default/nginx-basic-76dd66bf4f-fbw9p to worker7
[2025-04-16 01:38:27] 4m          Normal    Pulling                        pod/nginx-basic-76dd66bf4f-q2bwz          Pulling image "nginx:latest"
[2025-04-16 01:38:27] 3m59s       Normal    Started                        pod/nginx-basic-76dd66bf4f-w6grp          Started container nginx
[2025-04-16 01:38:27] 3m59s       Normal    Created                        pod/nginx-basic-76dd66bf4f-w6grp          Created container nginx
[2025-04-16 01:38:27] 3m59s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-w6grp          Successfully pulled image "nginx:latest" in 673ms (673ms including waiting). Image size: 72207578 bytes.
